"","Company","Report_Date","OperatingExpenses","Last_Year_OperatingExpenses","Growth"
"452","ZION",2014-12-31,406741000,414840000,-0.02
"453","ZION",2015-03-31,392977000,398063000,-0.013
"454","ZION",2015-06-30,396602000,406027000,-0.023
"455","ZION",2015-09-30,391280000,394114000,-0.007
"456","ZION",2015-12-31,400141000,406741000,-0.016
"457","ZION",2016-03-31,3.96e+08,392977000,0.008
"458","ZION",2016-06-30,3.82e+08,396602000,-0.037
"459","ZION",2016-09-30,4.03e+08,391280000,0.03
"460","ZION",2016-12-31,4.04e+08,400141000,0.01
"461","ZION",2017-03-31,4.14e+08,3.96e+08,0.045
"462","ZION",2017-06-30,4.05e+08,3.82e+08,0.06
"463","ZION",2017-09-30,4.13e+08,4.03e+08,0.025
"464","ZION",2017-12-31,4.17e+08,4.04e+08,0.032
"465","ZION",2018-03-31,4.19e+08,4.14e+08,0.012
"466","ZION",2018-06-30,4.28e+08,4.05e+08,0.057
"467","ZION",2018-09-30,4.2e+08,4.13e+08,0.017
"468","ZION",2018-12-31,4.19e+08,4.17e+08,0.005
"469","ZION",2019-03-31,4.3e+08,4.19e+08,0.026
