"","Company","Report_Date","Revenue","Last_Year_Revenue","growth","ranked_growth"
"94","CMA",2013-06-30,6.23e+08,6.27e+08,-0.006,28
"95","CMA",2014-03-31,6.09e+08,6.13e+08,-0.007,29
"96","CMA",2014-09-30,6.24e+08,6.32e+08,-0.013,30
"97","CMA",2014-12-31,6.27e+08,6.4e+08,-0.02,31
"98","CMA",2013-03-31,6.13e+08,6.26e+08,-0.021,32
"99","CMA",2013-12-31,6.4e+08,6.64e+08,-0.036,33
"100","CMA",2019-06-30,8.09e+08,8.67e+08,-0.067,34
"101","CMA",2016-03-31,5.43e+08,6.51e+08,-0.166,35
"102","CMA",2009-06-30,3.88e+08,NA,NA,NA
"103","CMA",2009-09-30,3.89e+08,NA,NA,NA
"104","CMA",2009-12-31,3.54e+08,NA,NA,NA
"105","CMA",2010-03-31,4.34e+08,NA,NA,NA
"106","FITB",2010-12-31,1.403e+09,7.53e+08,0.863,1
"107","FITB",2010-09-30,1.282e+09,7.68e+08,0.669,2
"108","FITB",2017-09-30,2.464e+09,1.667e+09,0.478,3
"109","FITB",2011-03-31,1.295e+09,9.34e+08,0.387,4
"110","FITB",2018-03-31,1.892e+09,1.382e+09,0.369,5
"111","FITB",2015-12-31,1.909e+09,1.436e+09,0.329,6
"112","FITB",2013-06-30,1.876e+09,1.502e+09,0.249,7
"113","FITB",2012-03-31,1.576e+09,1.295e+09,0.217,8
"114","FITB",2012-12-31,1.703e+09,1.411e+09,0.207,9
"115","FITB",2011-06-30,1.407e+09,1.177e+09,0.195,10
"116","FITB",2018-06-30,1.73e+09,1.451e+09,0.192,11
"117","FITB",2011-09-30,1.476e+09,1.282e+09,0.151,12
"118","FITB",2016-09-30,1.667e+09,1.458e+09,0.143,13
"119","FITB",2019-03-31,2.093e+09,1.892e+09,0.106,14
"120","FITB",2015-09-30,1.458e+09,1.352e+09,0.078,15
"121","FITB",2012-06-30,1.502e+09,1.407e+09,0.068,16
"122","FITB",2018-12-31,1.561e+09,1.464e+09,0.066,17
"123","FITB",2013-09-30,1.563e+09,1.509e+09,0.036,18
"124","FITB",2016-06-30,1.41e+09,1.364e+09,0.034,19
"125","FITB",2017-06-30,1.451e+09,1.41e+09,0.029,20
"126","FITB",2012-09-30,1.509e+09,1.476e+09,0.022,21
"127","FITB",2015-03-31,1.408e+09,1.388e+09,0.014,22
"128","FITB",2016-03-31,1.421e+09,1.408e+09,0.009,23
"129","FITB",2011-12-31,1.411e+09,1.403e+09,0.006,24
"130","FITB",2013-03-31,1.569e+09,1.576e+09,-0.004,25
"131","FITB",2017-12-31,1.464e+09,1.47e+09,-0.004,25
"132","FITB",2017-03-31,1.382e+09,1.421e+09,-0.027,26
"133","FITB",2014-12-31,1.436e+09,1.55e+09,-0.074,27
"134","FITB",2013-12-31,1.55e+09,1.703e+09,-0.09,28
"135","FITB",2014-03-31,1.388e+09,1.569e+09,-0.115,29
"136","FITB",2015-06-30,1.364e+09,1.56e+09,-0.126,30
"137","FITB",2014-09-30,1.352e+09,1.563e+09,-0.135,31
"138","FITB",2014-06-30,1.56e+09,1.876e+09,-0.168,32
"139","FITB",2016-12-31,1.47e+09,1.909e+09,-0.23,33
"140","FITB",2018-09-30,1.52e+09,2.464e+09,-0.383,34
"141","FITB",2010-06-30,1.177e+09,2.373e+09,-0.504,35
"142","FITB",2009-06-30,2.373e+09,NA,NA,NA
"143","FITB",2009-09-30,7.68e+08,NA,NA,NA
"144","FITB",2009-12-31,7.53e+08,NA,NA,NA
"145","FITB",2010-03-31,9.34e+08,NA,NA,NA
"146","HBAN",2010-09-30,557945000,143735000,2.882,1
"147","HBAN",2010-06-30,475893000,202137000,1.354,2
"148","HBAN",2011-03-31,591890000,399737000,0.481,3
"149","HBAN",2017-06-30,1.045e+09,752484000,0.389,4
